Stand,Quadrat,Date,Light1,Light2,Light3,Light4,% Moisture1,% Moisture2,% Moisture3,% Moisture4,Veg%Cover,Nurselog%Cover,Moss%Cover,Litter%Cover,Bare%Cover,ABAM,CANO,PSME,THPL,TSHE,TSME,PICO,PIEN,ABLA,ABPR,PIMO,Field Notes,Lab Notes
AB08,1,16-06-15,11,10,12,10,16.5,15.5,8.4,6.1,30,0,60,15,10,0,0,0,0,0,0,0,0,0,0,0,,
AB08,2,16-06-15,17,16,20,8,1.1,1.7,6.4,2,40,40,55,10,1,0,0,0,6,10,0,0,0,0,0,0,,
AB08,3,16-06-15,12,22,7,4,9.9,11.2,14.1,2.9,10,0,95,5,2,0,0,0,0,1,0,0,0,0,0,0,,
AB08,4,16-06-15,7,8,16,12,3.1,13.2,12.5,4.6,75,70,60,10,0,0,0,1,0,7,0,0,0,0,0,0,,
AB08,5,16-06-15,13,7,8,4,7.8,9.2,9.7,12,5,0,95,5,2,0,0,0,0,1,0,0,0,0,0,0,,
AB08,6,16-06-15,7,4,11,8,4.4,12.9,1,1,10,0,80,20,5,0,0,0,0,0,0,0,0,0,0,0,,
AE10,1,29-06-15,7,3,22,3,1.5,4.4,3.9,3.8,75,0,0,100,0,1,2,0,0,0,1,0,0,0,0,0,,
AE10,2,29-06-15,17,2,12,26,0,3,1.9,9.5,75,0,0,90,0,0,15,0,0,0,0,0,0,0,0,0,,measurement for moisture #1 listed as NA on data sheet but 0 on excel sheet
AE10,3,29-06-15,8,10,5,3,6.6,4,7.5,4.4,5,0,15,85,0,0,16,0,0,0,0,0,0,0,0,0,,
AE10,4,29-06-15,6,10,6,12,3.5,2.8,1.5,0.9,2,0,5,85,10,0,9,0,0,0,0,0,0,0,0,0,,
AE10,5,29-06-15,4,12,12,10,3.4,4.9,2.6,8.2,0,0,0,80,20,0,18,0,0,0,0,0,0,0,0,0,large tree root sticking out of plot,
AE10,6,29-06-15,4,4,6,7,3.8,2.5,4.6,2.1,2,0,5,85,15,1,7,0,0,0,0,0,0,0,0,0,,
AG05,1,17-06-15,4,4,4,6,11.16,9.4,6.1,6.5,0,0,35,100,0,0,0,1,1,3,0,0,0,0,0,0,log fall,
AG05,2,17-06-15,5,7,4,4,7.7,11,13.7,3.7,0,0,5,100,0,1,0,0,9,2,0,0,0,0,0,0,,
AG05,3,17-06-15,8,4,6,2,3,0.9,5.4,10.1,0,0,50,100,0,0,0,0,7,0,0,0,0,0,0,0,,
AG05,4,17-06-15,3,4,1,4,0.2,0,4.7,7.1,25,5,30,90,0,0,0,1,1,5,0,0,0,0,0,0,,
AG05,5,17-06-15,10,4,7,9,12.1,18.5,18.9,11.9,40,0,35,85,0,0,0,0,7,3,0,0,0,0,0,0,,"2nd measurement for moisture says NA, entered in as 0 on excel sheet"
AG05,6,17-06-15,5,5,6,2,3.8,9.4,3,8.9,25,0,5,90,0,2,0,0,0,0,0,0,0,0,0,0,TABR=2,
AM16,1,30-06-15,5,53,25,12,8.5,12.8,2.1,0.01,75,0,60,40,0,0,10,0,0,0,0,0,0,0,0,0,,
AM16,2,30-06-15,7,16,14,34,9.7,14,2.9,5.8,50,0,50,50,0,0,10,0,0,0,0,0,0,0,0,0,,
AM16,3,30-06-15,6,15,36,22,7.8,5.3,11.1,9.4,80,15,55,45,0,0,13,0,0,1,0,0,0,0,0,0,,
AM16,4,30-06-15,13,18,17,7,53.4,46.4,12.9,20.9,95,0,5,90,0,0,21,0,0,0,0,0,0,0,0,0,PVC posts @ quad 4 need to be put in the ground better - bring hammer & measuring tape,
AM16,5,30-06-15,2,2,1,3,43.5,49.2,43.1,33.3,75,0,95,5,0,0,8,0,0,0,2,0,0,0,0,0,,
AM16,6,30-06-15,5,7,1,6,22.3,22.1,2.6,2.9,60,0,10,90,0,0,8,0,0,1,0,0,0,0,0,0,,
AO03,1,17-06-15,4,2,11,5,4.4,2,2.8,1.1,90,0,30,10,0,0,0,0,0,4,0,0,0,0,0,0,,
AO03,2,17-06-15,3,3,2,4,0.9,3,1.3,2.4,25,75,75,30,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,3,17-06-15,13,2,3,9,1.6,0.5,3.3,1.6,75,0,2,80,0,0,0,0,0,0,0,0,0,0,0,0,,
AO03,4,17-06-15,0,3,10,4,0.5,1.9,0.4,1.5,25,100,25,40,0,0,0,1,0,1,0,0,0,0,0,0,,
AO03,5,17-06-15,4,4,0,3,2.2,1.8,0.3,0.4,65,20,20,80,1,0,0,0,0,0,0,0,0,0,0,0,,
AO03,6,17-06-15,4,1,5,2,0.6,0.8,0.8,1.2,90,0,5,95,0,0,0,0,0,0,0,0,0,0,0,0,,
AR07,1,29-Jun,10,11,19,10,3.8,3.9,6.6,1,50,0,1,100,0,0,39,0,0,0,0,0,0,0,0,0,,
AR07,2,29-Jun,2,5,12,6,5.8,11.1,2.1,11.9,55,5,1,95,1,0,4,0,0,0,0,0,0,0,0,0,"Quad 2 Stake, PVC Pipe in nurse log not stable, may beed hammer or something - AH",
AR07,3,29-Jun,6,5,7,9,7.5,2,7.7,8.5,75,0,30,100,0,0,4,0,0,0,0,0,0,0,0,0,"Tree 9099 tag gell off. Right below quad.3 at (0,0) coordinate (CANO). Tag at base of tree. ",
AR07,4,29-Jun,9,26,2,5,11.6,6.1,12.3,11.1,70,0,10,95,0,0,15,0,0,0,0,0,0,0,0,0,,
AR07,5,29-Jun,3,6,15,4,9.5,14,15.8,15.3,80,10,5,13,10,1,17,0,0,0,0,0,0,0,0,0,,
AR07,6,29-Jun,2,1,4,4,0.4,18.2,6,1.9,30,40,5,50,5,0,8,0,0,0,0,0,0,0,0,0,,
AV02,1,17-06-15,4,3,8,5,0.2,0.4,2.8,2.7,10,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,,
AV02,2,17-06-15,5,7,4,10,3.3,2.3,4.4,0.4,4,0,1,98,0,0,0,0,0,0,0,0,0,0,0,0,,
AV02,3,17-06-15,4,3,7,6,0.9,0.1,1.5,0,0,0,5,95,0,0,0,0,0,3,0,0,0,0,0,0,,
AV02,4,17-06-15,6,4,4,8,0.1,0.2,0,0,10,0,50,50,0,0,0,0,0,1,0,0,0,0,0,0,,
AV02,5,17-06-15,4,4,4,7,0.1,1.4,1.5,0.4,15,0,35,50,0,0,0,0,0,0,0,0,0,0,0,0,,
AV02,6,17-06-15,6,4,15,11,0,1.2,0.9,0.7,1,50,80,15,0,1,0,0,0,7,0,0,0,0,0,0,,
AV06,1,16-06-15,3,1,6,5,16.8,5.6,14.3,5.9,20,10,45,15,0,1,0,0,0,4,0,0,0,0,0,0,log = 30%,
AV06,2,16-06-15,1,2,2,4,5.4,20,13.9,8.2,60,0,75,20,0,0,0,0,0,5,0,0,0,0,0,0,,
AV06,3,16-06-15,4,3,0,2,1.9,19.7,8.5,8.7,10,0,85,15,0,0,0,1,0,3,0,0,0,0,0,0,,
AV06,4,16-06-15,4,7,2,4,13.6,12.9,17.7,17.3,35,0,5,95,0,0,0,0,1,5,0,0,0,0,0,0,,
AV06,5,16-06-15,4,5,9,7,7.3,4.9,11.7,10.5,15,0,50,50,0,4,0,0,0,2,0,0,0,0,0,0,,
AV06,6,16-06-15,5,7,13,9,23.3,10.7,12.1,14.6,75,0,70,15,10,0,0,0,1,1,0,0,0,0,0,0,,
AV14,1,23-06-15,7,7,8,11,21.4,19.1,20.8,18.8,60,2,40,100,0,5,0,0,0,0,0,0,0,0,0,0,,
AV14,2,23-06-15,1,2,5,10,15,10.1,18,1.7,30,25,60,40,0,0,0,0,0,5,0,0,0,0,0,0,,
AV14,3,23-06-15,9,14,5,3,13.3,21.8,13.4,21.6,5,10,25,75,0,0,0,0,0,0,0,0,0,0,0,0,,
AV14,4,23-06-15,9,3,5,6,2.1,9.4,3.6,17.7,0,0,0,100,0,0,0,0,0,53,0,0,0,0,0,0,,
AV14,5,23-06-15,12,8,4,4,19.2,13,17.3,18.7,0,5,0,100,0,0,0,0,0,4,0,0,0,0,0,0,,
AV14,6,23-06-15,10,2,2,8,19.3,15.5,15.3,16.6,5,50,0,100,0,1,0,0,0,0,0,0,0,0,0,0,,
AX15,1,18-06-15,9,7,4,2,19.1,15,7.5,5.1,30,45,10,90,0,0,0,0,0,7,0,0,0,0,0,0,,
AX15,2,18-06-15,4,7,5,6,10.6,10.8,12.1,10.1,2,5,5,88,5,0,0,0,0,1,0,0,0,0,0,0,,
AX15,3,18-06-15,6,11,7,3,15.1,5.6,5.8,13.1,0,0,5,90,10,0,0,0,0,4,0,0,0,0,0,0,,
AX15,4,18-06-15,9,10,6,10,14.5,2.4,11,6.2,5,0,10,80,10,0,0,0,0,7,0,0,0,0,0,0,,
AX15,5,18-06-15,9,13,11,13,2.1,0.4,0.9,6.3,2,5,5,95,0,0,0,0,1,6,0,0,0,0,0,0,,
AX15,6,18-06-15,11,12,12,13,9.8,11.3,3.8,4.5,5,30,2,85,10,0,0,0,0,4,0,0,0,0,0,0,,
PARA,1,30-06-15,5,4,6,8,8.9,0.8,11.1,10.6,1,0,0,100,10,7,0,0,0,0,0,0,0,0,0,0,,
PARA,2,30-06-15,11,4,13,9,7,5.9,3.2,9.2,45,0,3,100,0,6,0,0,0,0,0,0,0,0,0,0,,
PARA,3,30-06-15,5,6,2,1,5.9,7.1,5.8,1,75,0,0,100,0,3,0,0,0,0,0,0,0,0,0,0,,
PARA,4,30-06-15,50,13,9,6,20.6,17.5,19.6,20.4,85,0,30,50,0,0,0,0,0,0,0,0,0,0,0,0,,
PARA,5,30-06-15,4,3,12,15,7.2,12.1,12,17,50,10,5,100,0,0,0,0,0,0,0,0,0,1,0,0,,
