Stand,Quadrat,Date,Light1,Light2,Light3,Light4,% Moisture1,% Moisture2,% Moisture3,% Moisture4,Veg%Cover,Nurselog%Cover,Moss%Cover,Litter%Cover,Bare%Cover,ABAM,CANO,PSME,THPL,TSHE,TSME,PICO,PIEN,ABLA,ABPR,PIMO,Field Notes,Lab Notes
AB08,1,20-06-17,14,9,20,12,5.7,4.9,1.4,7.3,17,20,80,10,0,0,0,0,0,4,0,0,0,0,0,0,,
AB08,2,20-06-17,9,21,11,17,6.5,2.1,6.3,2.5,50,40,50,5,5,0,0,0,0,50,0,0,0,0,0,0,,
AB08,3,20-06-17,24,10,11,7,3.3,7.7,4.6,5.1,40,0,99,1,0,0,0,0,0,22,0,0,0,0,0,0,moss on nurselog,
AB08,4,20-06-17,24,19,20,26,2.2,4.3,2.7,1.8,65,20,85,5,0,0,0,0,5,85,0,0,0,0,0,0,,
AB08,5,20-06-17,7,23,11,11,2.7,5.3,1.9,0.2,15,0,99,2,0,0,0,1,0,11,0,0,0,0,0,0,,
AB08,6,20-06-17,11,19,9,7,2.2,0.8,3.5,1.2,25,0,90,10,0,0,0,0,1,23,0,0,0,0,0,0,,
AE10,1,11-07-17,23,29,6,6,0.5,3.6,4.9,2.7,30,25,7,80,0,0,0,0,0,0,0,0,0,0,0,0,,
AE10,2,11-07-17,28,16,5,8,4.2,1.3,0.7,NA,50,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,,
AE10,3,11-07-17,1,16,3,6,0.8,1.5,0.6,2.2,15,0,15,90,0,0,0,0,0,0,0,0,0,0,0,0,,
AE10,4,11-07-17,5,12,13,10,1.8,1.4,3.4,0.5,3,0,8,95,0,0,0,0,0,0,0,0,0,0,0,0,,
AE10,5,11-07-17,9,13,8,3,4.7,1.8,2.3,1.1,0,50,15,90,0,0,1,0,0,0,0,0,0,0,0,0,,
AE10,6,11-07-17,14,9,11,15,1.5,1.9,1.6,0.2,2,0,5,95,0,1,1,0,0,0,0,0,0,0,0,0,,
AE10,1,24-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,,
AE10,2,24-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,,
AE10,3,24-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,,
AE10,4,24-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,1,0,0,,
AE10,5,24-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,,
