Year,Stand,Quadrat,Date,Light1,Light2,Light3,Light4,% Moisture1,% Moisture2,% Moisture3,% Moisture4,Veg%Cover,Nurselog%Cover,Moss%Cover,Litter%Cover,Bare%Cover,Rock%Cover,Tree%Cover,Log%Cover,Root%Cover,ABAM,CANO,PSME,THPL,TSHE,TSME,PICO,PIEN,ABLA,ABPR,PIMO,Notes
2012,AB08,1,19-06-12,17,13,12,23,1.5,1.1,4.2,2.3,30,0,60,30,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,
2012,AB08,2,19-06-12,3,7,11,7,1.6,1.7,1.8,3.6,40,45,50,45,0,0,0,0,0,0,0,1,7,22,0,0,0,0,0,0,
2012,AB08,3,19-06-12,22,13,12,14,7.9,2.4,3.8,4.7,25,0,95,5,0,0,0,0,0,0,0,0,5,14,0,0,0,0,0,0,"soil moisture recorded to 2 decimal places (e.g. 0.79), which is impossible (sensor only records to 1 decimal place), so multiplied all values in quads 3,4,5 & 6 by 10 (other quads did not have this problem)"
2012,AB08,4,19-06-12,25,12,12,21,3,4.2,1.1,3.6,65,25,80,10,0,0,0,0,0,0,0,0,26,53,0,0,0,0,0,0,"soil moisture recorded to 2 decimal places (e.g. 0.79), which is impossible (sensor only records to 1 decimal place), so multiplied all values in quads 3,4,5 & 6 by 10 (other quads did not have this problem)"
2012,AB08,5,19-06-12,13,12,10,13,4.4,5,5.5,4,2,0,98,98,5,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,"soil moisture recorded to 2 decimal places (e.g. 0.79), which is impossible (sensor only records to 1 decimal place), so multiplied all values in quads 3,4,5 & 6 by 10 (other quads did not have this problem)"
2012,AB08,6,19-06-12,14,11,15,11,2,3.8,0.9,2.1,15,10,60,60,20,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,"soil moisture recorded to 2 decimal places (e.g. 0.79), which is impossible (sensor only records to 1 decimal place), so multiplied all values in quads 3,4,5 & 6 by 10 (other quads did not have this problem)"
2012,AE10,1,24-07-12,1,3,20,8,2.8,1.7,2.5,3.2,15,25,0,70,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,
2012,AE10,2,24-07-12,3,1,21,20,2.5,0.4,2.7,1.1,40,0,0,60,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,
2012,AE10,3,24-07-12,5,4,7,12,1.2,1.4,0.4,3.2,10,10,0,85,0,0,0,0,0,27,1,0,0,0,1,0,0,0,0,0,
2012,AE10,4,24-07-12,12,10,8,9,2.8,2.1,0.4,1,5,0,5,95,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,
2012,AE10,5,24-07-12,10,9,6,3,2.3,1,0.7,5,20,0,5,70,0,0,0,0,0,26,0,0,0,0,1,0,0,0,0,0,
2012,AE10,6,24-07-12,5,9,3,7,4.2,1.7,1.2,0.4,5,0,0,95,0,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,
2012,AG05,1,13-06-12,16,17,26,16,0.2,3.4,0.3,8.7,0,0,20,80,1,0,0,0,0,4,0,1,63,5,0,0,0,0,0,0,"two censuses - the second on June 25, but used this one b/c seedlings not at higher density"
2012,AG05,2,13-06-12,35,21,18,18,5,2.2,2.6,1.4,0,50,1,60,0,0,0,0,0,3,0,0,100,5,0,0,0,0,0,0,"two censuses - the second on June 25, but used this one b/c seedlings not at higher density"
2012,AG05,3,13-06-12,9,13,7,11,1.3,1.9,9.5,3.4,0,0,10,90,0,0,0,0,0,0,0,0,45,3,0,0,0,0,0,0,"two censuses - the second on June 25, but used this one b/c seedlings not at higher density"
2012,AG05,4,13-06-12,15,12,31,17,2.3,0.8,7.4,3,40,0,5,55,0,0,0,0,0,0,0,0,141,2,0,0,0,0,0,0,"two censuses - the second on June 25, but used this one b/c seedlings not at higher density"
2012,AG05,5,13-06-12,16,22,17,11,0.3,4.9,7.9,3.5,40,0,6,54,0,0,0,0,0,0,0,0,47,2,0,0,0,0,0,0,"two censuses - the second on June 25, but used this one b/c seedlings not at higher density"
2012,AG05,6,13-06-12,12,10,13,6,1.9,4.2,8.3,4,37,0,1,62,0,0,0,0,0,1,0,0,8,3,0,0,0,0,0,0,"two censuses - the second on June 25, but used this one b/c seedlings not at higher density"
2012,AM16,1,23-07-12,9,10,16,7,1.6,1.8,1.4,0.7,75,20,30,40,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,
2012,AM16,2,23-07-12,12,5,16,23,2.3,1.6,3.3,2.6,60,0,40,60,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,
2012,AM16,3,23-07-12,10,21,10,4,2.1,1,2.9,3.8,50,0,20,70,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,
2012,AM16,4,23-07-12,15,12,7,8,17.3,9.8,18.5,11,85,0,10,50,0,0,0,0,0,1,2,0,0,0,56,0,0,0,0,0,
2012,AM16,5,23-07-12,6,8,9,6,22.5,19.7,18.8,13.1,45,0,75,5,0,0,0,0,0,0,1,0,0,0,37,0,0,0,0,0,
