Year,Stand,Trapno,ABAM,ABLA,CANO,PSME,THPL,TSHE,TSME,Notes
2015,AB08,1,0,0,0,0,0,0,0,
2015,AB08,2,0,0,0,0,0,0,0,
2015,AB08,3,0,0,0,0,0,0,0,
2015,AB08,4,0,0,0,0,0,0,0,
2015,AB08,5,0,0,0,0,0,0,0,
2015,AB08,6,0,0,0,0,0,0,0,"wire came of basket, replaced"
2015,AE10,1,0,0,0,0,0,0,0,
2015,AE10,2,0,0,0,0,0,0,0,wire is ripped in one spot
2015,AE10,3,0,0,0,0,0,0,0,
2015,AE10,4,0,0,0,0,0,0,0,
2015,AE10,5,0,0,0,0,0,0,0,
2015,AE10,6,0,0,0,0,0,0,0,
2015,AG05,1,0,0,0,0,0,0,0,
2015,AG05,2,0,0,0,0,0,0,0,
2015,AG05,3,0,0,0,0,1,0,0,
2015,AG05,4,0,0,0,0,0,0,0,
2015,AG05,5,0,0,0,0,0,0,0,
2015,AG05,6,0,0,0,0,0,0,0,"psme cone on wire, placed in"
2015,AM16,1,0,0,0,0,0,0,0,
2015,AM16,2,0,0,0,0,0,1,0,
2015,AM16,3,0,0,0,0,0,0,0,
2015,AM16,4,0,0,0,0,0,0,0,
2015,AM16,5,0,0,4,0,0,0,0,
2015,AM16,6,0,0,1,0,0,0,0,
2015,AO03,1,0,0,0,0,0,1,0,"wire was only covering 2/3 of basket, fixed"
2015,AO03,2,0,0,0,0,0,0,0,
2015,AO03,3,0,0,0,0,0,0,0,patched 2 small holes w/ duct tape
2015,AO03,4,0,0,0,0,0,1,0,
2015,AO03,5,0,0,0,0,0,0,0,
2015,AO03,6,0,0,0,0,0,0,0,
2015,AR07,1,0,0,0,0,0,0,0,
2015,AR07,2,0,0,0,0,0,0,0,
2015,AR07,3,0,0,0,0,0,0,0,"cover rusty, needs replacement"
2015,AR07,4,0,0,0,0,0,0,0,
2015,AR07,5,0,0,0,0,0,0,0,
2015,AR07,6,0,0,0,0,0,0,0,
2015,AV02,1,0,0,0,0,0,0,0,
2015,AV02,2,0,0,0,0,0,0,0,"HOBO next to seed trap, upside down, landscape staple not in ground, restored"
2015,AV02,3,0,0,0,0,0,1,0,"wire and liner not covering basket, restored"
2015,AV02,4,0,0,0,0,0,0,0,"wire only covering 2/3 of basket, restored"
2015,AV02,5,0,0,0,0,0,0,0,
2015,AV02,6,0,0,0,0,0,0,0,
2015,AV06,1,0,0,0,0,1,1,0,
2015,AV06,2,0,0,0,0,0,5,1,
2015,AV06,3,0,0,0,0,0,1,0,
2015,AV06,4,0,0,0,0,0,1,0,
2015,AV06,5,0,0,0,0,1,1,0,
2015,AV06,6,0,0,0,0,0,1,0,
2015,AV14,1,0,0,0,0,0,0,0,small piece of duct tape added to liner
2015,AV14,2,0,0,0,0,0,0,0,
2015,AV14,3,0,0,0,0,0,0,0,
2015,AV14,4,0,0,0,0,0,0,0,
2015,AV14,5,0,0,0,0,5,0,0,tree fall debris over quad
2015,AV14,6,0,0,0,0,0,0,0,tree fall debris over quad
2015,AX15,1,0,0,0,0,0,0,0,"wire collapsed in trap, fixed"
2015,AX15,2,0,0,0,0,0,2,0,
2015,AX15,3,0,0,0,0,0,1,0,
2015,AX15,4,0,0,0,0,0,0,0,
2015,AX15,5,0,0,0,0,0,1,0,
2015,AX15,6,0,0,0,0,0,0,0,
2015,PARA,1,0,0,0,0,0,0,0,
2015,PARA,2,0,0,0,0,0,0,0,
2015,PARA,3,0,0,0,0,0,0,0,
2015,PARA,4,0,0,0,0,0,0,0,
