Year,Stand,Trapno,ABAM,ABLA,CANO,PSME,THPL,TSHE,TSME,Notes
2014,AB08,1,0,0,0,1,0,0,0,
2014,AB08,2,0,0,0,0,0,0,0,
2014,AB08,3,0,0,0,0,0,5,0,1 hemlock still in seed coat
2014,AB08,4,0,0,0,0,3,5,0,1 hemlock still in seed coat
2014,AB08,5,0,0,0,0,0,4,0,
2014,AB08,6,0,0,0,0,0,0,0,
2014,AE10,1,0,0,0,0,0,0,0,basket slightly crushed
2014,AE10,2,0,0,0,0,0,0,0,
2014,AE10,3,0,0,0,0,0,0,0,
2014,AE10,4,0,0,0,0,0,0,0,
2014,AE10,5,0,0,0,0,0,0,0,"large rips in mesh. Replaced mesh, collected basket content is separate paper bag"
2014,AE10,6,0,0,0,0,0,0,0,basket mashed
2014,AG05,1,0,0,0,0,0,0,1,branch covering 1/5 of wire
2014,AG05,2,0,0,0,0,1,0,0,large sapling fell on trap.  Replaced liner
2014,AG05,3,0,0,0,0,2,2,1,binder clips should be replaced soon
2014,AG05,4,0,0,0,0,0,0,0,
2014,AG05,5,0,0,0,0,0,0,1,
2014,AG05,6,0,0,0,0,0,0,0,branch covering 1/2 of wire
2014,AM16,1,0,0,0,0,0,0,0,replace chicken wire
2014,AM16,2,2,0,0,0,0,0,0,
2014,AM16,3,0,0,0,0,0,0,0,replace chicken wire
2014,AM16,4,0,0,0,0,0,0,0,replace chicken wire
2014,AM16,5,0,0,0,0,0,3,1,"1 of each still in seed coat, a few breaks in wire"
2014,AM16,6,0,0,0,0,0,0,0,
2014,AO03,1,0,0,0,0,4,0,0,"medium hole inside, patched with tape but damp mesh so didn't stick great"
2014,AO03,2,0,0,0,0,2,3,0,"11 unknown seedlings, presumably no focal. needs some patching around edge"
2014,AO03,3,0,0,0,0,2,4,0,a few repairs needed
2014,AO03,4,0,0,0,0,10,6,0,"2 doug fir cones on wire, a few repairs needed"
2014,AO03,5,0,0,0,1,3,1,0,"2 doug fir cones on wire, 2 small holes on edge"
2014,AO03,6,0,0,0,1,28,46,0,small rips on edges need to be repaired
2014,AR07,1,0,0,0,0,0,0,0,
2014,AR07,2,0,0,0,0,0,0,0,long branches on wire.  Broken wire
2014,AR07,3,0,0,0,0,0,0,0,
2014,AR07,4,0,0,0,0,0,0,0,broken wire
2014,AR07,5,0,0,0,0,0,0,0,
2014,AR07,6,0,0,0,0,0,0,0,broken wire
2014,AV02,1,0,0,0,0,0,0,0,
2014,AV02,2,0,0,0,0,0,0,0,2 TSHE cones on wire
2014,AV02,3,0,0,0,0,0,0,0,
2014,AV02,4,0,0,0,0,0,0,0,
2014,AV02,5,0,0,0,0,0,0,0,replaced seed trap liner
2014,AV02,6,0,0,0,0,0,1,0,replace mesh liner because holes in basket bootom of mesh
2014,AV06,1,0,0,0,0,0,1,0,
2014,AV06,2,0,0,0,0,0,4,0,
2014,AV06,3,1,0,0,0,0,2,0,
2014,AV06,4,1,0,0,0,0,4,0,
2014,AV06,5,2,0,0,0,2,1,1,
2014,AV06,6,0,0,0,0,1,0,0,
2014,AV14,1,0,0,0,0,0,0,0,
2014,AV14,2,0,0,0,0,0,1,0,
2014,AV14,3,0,0,0,0,0,1,0,
2014,AV14,4,0,0,0,0,0,4,0,
2014,AV14,5,0,0,0,0,0,0,0,2 TSHE cones on wire.  Needs to be replaced (basket and liner) because of tree fall.  Removed liner but let basket and wire in field.  At edge of a large treefall and had lots of litter
2014,AV14,6,0,0,0,0,0,0,0,6 TSHE cones on wire. At edge of a large treefall and had lots of litter
2014,AX15,1,0,0,0,0,0,0,1,wire very rusty
2014,AX15,2,0,0,0,0,0,1,0,wire very rusty
2014,AX15,3,0,0,0,0,0,5,0,holes in liner patched with duck tapes.  Liner should be replaced. Wire very rusty
2014,AX15,4,0,0,0,0,0,8,1,very small holes in liner patched with duck tape. Wire very rusty
2014,AX15,5,0,0,0,0,0,2,0,very small holes in liner patched with duck tape. Wire very rusty
2014,AX15,6,0,0,0,0,0,1,1,wire very rusty
2014,PARA,1,0,2,0,0,0,0,0,basket starting to break
2014,PARA,2,0,0,0,0,0,0,0,
2014,PARA,3,0,0,0,0,0,0,0,small branch on top of basket
2014,PARA,4,0,0,0,0,0,0,0,
2014,PARA,5,0,0,0,0,0,0,0,
2014,PARA,6,0,0,0,0,0,0,0,
2014,PP17,1,0,0,0,0,0,0,0,"small holes on edge, duct taped"
2014,PP17,2,0,0,0,0,0,0,0,"PICO pine cone on wire, small holes duct taped"
2014,PP17,3,0,0,0,0,0,0,0,"basket smashed by fallen tree, was able to extricate it"
2014,PP17,4,0,0,0,0,0,0,0,small holes repaired
2014,PP17,5,0,0,0,0,0,0,0,
2014,PP17,6,0,0,0,0,0,0,0,"fraying mesh, repaired but may get worse by next year"
2014,SPRY,1,0,0,0,0,0,0,0,
2014,SPRY,2,0,0,0,0,0,0,0,
2014,SPRY,3,1,0,0,0,0,0,0,
2014,SPRY,4,0,0,0,0,0,0,0,there's a stream running through plot
2014,SPRY,5,0,0,0,0,0,0,0,
2014,SPRY,6,0,0,0,0,0,0,0,
2014,SUNR,1,0,0,0,0,0,0,0,
2014,SUNR,2,0,0,0,0,0,0,0,small hole on bottom of mesh. Repaired with tape
