"year","stand","trapno","spp","loose_sds_filled","loose_sds_unfilled","cones","cones_sds_filled","cones_sds_unfilled","cone_sds_all","standardized_notes"
2018,"AB08",1,"THPL",1,0,0,0,0,0,""
2018,"AB08",1,"TSHE",5,22,11,0,0,0,""
2018,"AB08",2,"TSHE",1,26,12,0,0,0,""
2018,"AB08",3,"THPL",1,1,1,0,0,0,""
2018,"AB08",3,"TSHE",7,26,0,0,0,0,""
2018,"AB08",4,"TSHE",9,23,6,0,1,1,""
2018,"AB08",5,"TSHE",5,22,10,0,0,0,""
2018,"AB08",6,"PSME",1,0,0,0,0,0,""
2018,"AB08",6,"TSHE",2,21,19,0,0,0,""
2018,"AE10",1,"ABAM",0,1,0,0,0,0,""
2018,"AE10",1,"ABLA",0,1,0,0,0,0,""
2018,"AE10",1,"CANO",5,2,0,0,0,0,""
2018,"AE10",2,"ABAM",0,1,0,0,0,0,""
2018,"AE10",2,"ABLA",1,0,0,0,0,0,""
2018,"AE10",2,"CANO",1,2,0,0,0,0,""
2018,"AE10",2,"TSME",2,0,0,0,0,0,""
2018,"AE10",3,"CANO",8,3,0,0,0,0,""
2018,"AE10",4,"ABAM",0,1,0,0,0,0,""
2018,"AE10",4,"CANO",0,1,0,0,0,0,""
2018,"AE10",4,"TSME",1,0,0,0,0,0,""
2018,"AE10",5,"ABAM",0,2,0,0,0,0,"1 cone scale"
2018,"AE10",5,"CANO",4,0,0,0,0,0,""
2018,"AE10",5,"TSME",1,0,0,0,0,0,""
2018,"AE10",6,"ABLA",0,1,0,0,0,0,""
2018,"AE10",6,"CANO",7,1,0,0,0,0,""
2018,"AE10",6,"TSME",1,1,0,0,0,0,""
2018,"AG05",1,"ABAM",1,3,0,0,0,0,""
2018,"AG05",1,"PSME",7,1,0,0,0,0,""
2018,"AG05",1,"THPL",61,39,6,11,3,14,"broke a filled seed in half"
2018,"AG05",1,"TSHE",11,0,0,0,0,0,""
2018,"AG05",2,"ABAM",3,1,0,0,0,0,""
2018,"AG05",2,"PSME",3,0,0,0,0,0,""
2018,"AG05",2,"THPL",54,20,3,0,0,0,""
2018,"AG05",2,"TSHE",1,1,0,0,0,0,""
2018,"AG05",3,"ABAM",6,3,0,0,0,0,""
