"year","stand","trapno","spp","loose_sds_filled","loose_sds_unfilled","cones","cones_sds_filled","cones_sds_unfilled","cone_sds_all","standardized_notes"
2022,"AG05",1,"THPL",95,131,0,0,0,0,"uncertain stand (need to be checked)"
2022,"AG05",1,"PSME",58,8,0,0,0,0,NA
2022,"AG05",1,"ABAM",0,3,0,0,0,0,NA
2022,"AG05",1,"TSHE",19,0,0,0,0,0,NA
2022,"AB08",1,"ABAM",2,0,0,0,0,0,NA
2022,"AB08",1,"TSHE",12,73,5,0,1,1,NA
2022,"AB08",1,"THPL",7,22,1,0,0,0,NA
2022,"AB08",1,"PSME",13,1,0,0,0,0,NA
2022,"PARA",1,"ABAM",19,7.5,0,0,0,0,"uncertain with species ID (ABAM/ABPR)"
2022,"PARA",1,"ABLA",5,1,0,0,0,0,NA
2022,"PARA",1,"TSME",1,1.5,0,0,0,0,NA
2022,"SUNR",1,"ABLA",23,1,0,0,0,0,"Species not expected for this stand; uncertain species ID"
2022,"SUNR",1,"CANO",3,0,0,0,0,0,"Species not expected for this stand"
2022,"SUNR",1,"ABAM",184,5,0,0,0,0,"uncertain with species ID (ABAM/ABLA)"
2022,"SUNR",1,"TSME",16,0,0,0,0,0,NA
2022,"TA01",1,"PSME",60,5,0,0,0,0,NA
2022,"TA01",1,"THPL",2,0,0,0,0,0,NA
2022,"TA01",1,"TSHE",1,0,0,0,0,0,NA
2022,"AE10",1,"ABPR",3,5,0,0,0,0,NA
2022,"AE10",1,"CANO",6,1,0,0,0,0,"Species not expected for this stand"
2022,"AE10",1,"PSME",0,2,0,0,0,0,NA
2022,"AE10",1,"ABLA",2,0,0,0,0,0,NA
2022,"AE10",1,"ABAM",14,2,0,0,0,0,NA
2022,"TO04",1,"TSHE",6,97,11,0,35,35,NA
2022,"TO04",1,"THPL",42,135,0,0,0,0,NA
2022,"TO04",1,"ABGR",0,2,0,0,0,0,"Species not expected for this stand"
2022,"TO04",1,"PSME",7,27,0,0,0,0,NA
2022,"AO03",1,"THPL",194,460,3,0,11,11,NA
2022,"AO03",1,"TSHE",71,246,23,5,29,34,NA
